gene_id	sample_1	sample_2	status	value_1	value_2	log2_fold_change	test_stat	p_value	q_value	significant	gene_short_name
XLOC_026955	glu	noglu	OK	20.6388	119.989	2.53947	-7.26883	3.62599e-13	1.23191e-10	yes	C14C6.5
XLOC_001727	glu	noglu	OK	28.3388	1.71396	-4.04737	7.25279	4.0834e-13	1.35578e-10	yes	gpdh-1
XLOC_007472	glu	noglu	OK	20.9773	4.34696	-2.27075	7.20571	5.77316e-13	1.87422e-10	yes	cyp-13A6
XLOC_021865	glu	noglu	OK	11.6812	1.26758	-3.20404	7.1966	6.17284e-13	1.96041e-10	yes	C06G8.1
XLOC_003258	glu	noglu	OK	24.7658	3.87938	-2.67445	7.11012	1.15929e-12	3.60343e-10	yes	Y47H10A.5
XLOC_029020	glu	noglu	OK	31.4651	8.50988	-1.88654	7.07468	1.49791e-12	4.55896e-10	yes	ugt-16
XLOC_000731	glu	noglu	OK	42.6552	10.4095	-2.03482	7.04062	1.9138e-12	5.70587e-10	yes	dpy-14
XLOC_011508	glu	noglu	OK	148.511	33.8022	-2.13538	6.93596	4.03455e-12	1.17881e-09	yes	NA
XLOC_032079	glu	noglu	OK	45.256	12.2294	-1.88775	6.85854	6.95666e-12	1.99274e-09	yes	ugt-17
XLOC_039499	glu	noglu	OK	11.053	49.5241	2.16369	-6.70043	2.07809e-11	5.83824e-09	yes	F09C8.1
XLOC_009330	glu	noglu	OK	10.3379	0.475538	-4.44223	6.64121	3.11118e-11	8.5757e-09	yes	C40H1.8
XLOC_021518	glu	noglu	OK	276.313	93.4904	-1.56341	6.59398	4.2818e-11	1.15838e-08	yes	C27B7.9
XLOC_008087	glu	noglu	OK	38.0316	121.343	1.67382	-6.40849	1.4697e-10	3.9038e-08	yes	K10H10.2
XLOC_031514	glu	noglu	OK	47.53	15.9755	-1.57298	6.39052	1.65318e-10	4.31273e-08	yes	odc-1
XLOC_019652	glu	noglu	OK	0.801442	11.9897	3.90306	-6.36827	1.91167e-10	4.89958e-08	yes	F49F1.6
XLOC_030744	glu	noglu	OK	0.48291	103.032	7.73712	-6.28487	3.28127e-10	8.25172e-08	yes	F15E11.15
XLOC_007874	glu	noglu	OK	7.96931	37.1063	2.21914	-6.28246	3.33255e-10	8.25172e-08	yes	clec-4
XLOC_022190	glu	noglu	OK	45.7764	10.8068	-2.08266	6.27551	3.4848e-10	8.4849e-08	yes	F53B2.8
XLOC_025713	glu	noglu	OK	107.68	37.0247	-1.54018	6.23585	4.49332e-10	1.07611e-07	yes	gln-3
XLOC_015167	glu	noglu	OK	12.7309	3.5435	-1.84509	6.20222	5.56729e-10	1.31181e-07	yes	21ur-11897,noah-2
XLOC_027897	glu	noglu	OK	31.6637	3.44994	-3.19819	6.14121	8.18945e-10	1.89904e-07	yes	C33G8.3
XLOC_032735	glu	noglu	OK	2.11179	13.5359	2.68026	-6.12691	8.96028e-10	2.04532e-07	yes	T16G1.6
XLOC_005629	glu	noglu	OK	20.5202	68.6794	1.74284	-6.09869	1.06939e-09	2.40349e-07	yes	clec-66
XLOC_011707	glu	noglu	OK	8.11876	36.6872	2.17595	-6.04263	1.51618e-09	3.35604e-07	yes	K03H6.2
XLOC_003905	glu	noglu	OK	14.5778	2.47302	-2.55943	6.02931	1.64657e-09	3.59027e-07	yes	math-14
XLOC_037351	glu	noglu	OK	47.5767	12.9444	-1.87793	5.93967	2.85591e-09	6.1356e-07	yes	Y41G9A.10
XLOC_030134	glu	noglu	OK	11.6871	1.13193	-3.36807	5.93464	2.94497e-09	6.23523e-07	yes	hmit-1.1
XLOC_004342	glu	noglu	OK	9.25398	1.69848	-2.44583	5.91268	3.36591e-09	7.02466e-07	yes	F41C3.2
XLOC_020802	glu	noglu	OK	526.95	218.949	-1.26707	5.90843	3.45386e-09	7.10669e-07	yes	cpi-1
XLOC_008297	glu	noglu	OK	102.555	255.358	1.31613	-5.90516	3.52315e-09	7.14858e-07	yes	clec-150
XLOC_002399	glu	noglu	OK	13.2396	3.78069	-1.80814	5.88279	4.03397e-09	8.07291e-07	yes	noah-1
XLOC_011797	glu	noglu	OK	98.9906	28.4042	-1.80119	5.84887	4.94929e-09	9.77084e-07	yes	ilys-3
XLOC_014520	glu	noglu	OK	0.482134	6.81958	3.82218	-5.8286	5.58934e-09	1.08873e-06	yes	C32H11.4
XLOC_030403	glu	noglu	OK	147.855	26.6924	-2.46968	5.75042	8.90228e-09	1.71123e-06	yes	cnc-7
XLOC_006640	glu	noglu	OK	130.631	59.112	-1.14398	5.72515	1.03345e-08	1.96073e-06	yes	aagr-2
XLOC_033524	glu	noglu	OK	40.007	11.4509	-1.80479	5.6906	1.26592e-08	2.37101e-06	yes	T05E12.3
XLOC_014431	glu	noglu	OK	76.3961	26.5826	-1.52302	5.68384	1.31702e-08	2.43549e-06	yes	thn-2
XLOC_035466	glu	noglu	OK	34.3334	97.5255	1.50617	-5.65408	1.56685e-08	2.86126e-06	yes	M60.2
XLOC_010824	glu	noglu	OK	9.20394	0.690313	-3.73693	5.62754	1.82793e-08	3.29682e-06	yes	tsp-1
XLOC_006292	glu	noglu	OK	15.8938	0.754277	-4.39722	5.61493	1.96639e-08	3.50328e-06	yes	F33H12.7
XLOC_007097	glu	noglu	OK	12.8009	2.37297	-2.43148	5.59827	2.16501e-08	3.81069e-06	yes	wrt-10
XLOC_008957	glu	noglu	OK	1.87285	9.78426	2.38523	-5.57683	2.44941e-08	4.25993e-06	yes	F23F12.3
XLOC_030626	glu	noglu	OK	146.533	41.4061	-1.82331	5.5615	2.67472e-08	4.59705e-06	yes	cnc-2
XLOC_019373	glu	noglu	OK	6.90091	1.33536	-2.36956	5.49445	3.9193e-08	6.65779e-06	yes	clec-166
XLOC_018138	glu	noglu	OK	1.15094	8.16466	2.82658	-5.45355	4.93734e-08	8.29075e-06	yes	21ur-10811,21ur-1418,21ur-15103,21ur-7638,H25K10.1
XLOC_039315	glu	noglu	OK	81.6464	35.8079	-1.18911	5.41693	6.06306e-08	1.00372e-05	yes	mrp-5
XLOC_011993	glu	noglu	OK	0.153643	4.00687	4.70482	-5.41541	6.11482e-08	1.00372e-05	yes	clec-70
XLOC_008787	glu	noglu	OK	40.1282	13.9498	-1.52437	5.4059	6.44854e-08	1.04674e-05	yes	dpy-17
XLOC_022009	glu	noglu	OK	831.385	392.153	-1.0841	5.38313	7.3201e-08	1.17516e-05	yes	lys-4
XLOC_022225	glu	noglu	OK	24.2867	62.1469	1.35551	-5.33879	9.35665e-08	1.48577e-05	yes	K08D8.6
XLOC_001518	glu	noglu	OK	28.4083	94.2389	1.73001	-5.28742	1.24051e-07	1.94867e-05	yes	K11D2.1,asah-1
XLOC_013931	glu	noglu	OK	10.0692	2.63049	-1.93654	5.28102	1.28463e-07	1.99651e-05	yes	ugt-21
XLOC_014172	glu	noglu	OK	64.7687	20.3632	-1.66933	5.2676	1.3822e-07	2.12554e-05	yes	ZK593.3
XLOC_029906	glu	noglu	OK	5.81333	0.528218	-3.46016	5.24656	1.54962e-07	2.35817e-05	yes	T19C9.8
XLOC_005258	glu	noglu	OK	19.0561	4.14093	-2.20223	5.20787	1.91016e-07	2.87686e-05	yes	ZK970.7
XLOC_008034	glu	noglu	OK	70.6541	230.147	1.70371	-5.20186	1.973e-07	2.94117e-05	yes	F01D5.2,F01D5.3
XLOC_032223	glu	noglu	OK	50.0423	125.059	1.32139	-5.19754	2.0194e-07	2.97995e-05	yes	F28H7.3,F28H7.7
XLOC_001735	glu	noglu	OK	18.1681	2.64934	-2.77771	5.18401	2.17164e-07	3.17254e-05	yes	fipr-22
XLOC_010785	glu	noglu	OK	112.789	18.4948	-2.60843	5.17495	2.27972e-07	3.29747e-05	yes	gsto-1
XLOC_010823	glu	noglu	OK	9.21668	0.848577	-3.44113	5.16105	2.45568e-07	3.51716e-05	yes	tsp-2
XLOC_022391	glu	noglu	OK	492.791	225.442	-1.12822	5.13294	2.85253e-07	4.04589e-05	yes	Y45F10C.2
XLOC_029647	glu	noglu	OK	21.728	7.25519	-1.58247	5.1271	2.94244e-07	4.13328e-05	yes	cth-1
XLOC_011510	glu	noglu	OK	34.5167	3.349	-3.36549	5.11546	3.12981e-07	4.35461e-05	yes	NA
XLOC_039271	glu	noglu	OK	5.87076	1.28015	-2.19724	5.11148	3.19637e-07	4.40525e-05	yes	hch-1
XLOC_013746	glu	noglu	OK	177.04	393.844	1.15355	-5.09809	3.43092e-07	4.68432e-05	yes	lys-10
XLOC_004315	glu	noglu	OK	63.8907	14.2175	-2.16794	5.09314	3.52173e-07	4.76379e-05	yes	dao-2
XLOC_027445	glu	noglu	OK	353.45	145.501	-1.28048	5.07548	3.8652e-07	5.18043e-05	yes	nlp-29
XLOC_027206	glu	noglu	OK	0.344027	34.4438	6.64558	-5.04753	4.47548e-07	5.94385e-05	yes	F15E11.12
XLOC_036507	glu	noglu	OK	169.949	78.3356	-1.11736	5.03733	4.7208e-07	6.21317e-05	yes	his-24
XLOC_007973	glu	noglu	OK	12.0298	43.016	1.83826	-5.02974	4.91134e-07	6.40623e-05	yes	gst-20
XLOC_003977	glu	noglu	OK	17.2663	5.02011	-1.78217	5.01837	5.21126e-07	6.73729e-05	yes	F42G2.2
XLOC_010178	glu	noglu	OK	0.0638904	21.8833	8.42001	-5.00242	5.66138e-07	7.255e-05	yes	Y53G8AM.5
XLOC_010586	glu	noglu	OK	27.0079	8.05122	-1.7461	4.98667	6.1428e-07	7.80349e-05	yes	C05D11.5,nas-4
XLOC_030704	glu	noglu	OK	10.533	1.31329	-3.00366	4.98299	6.26106e-07	7.88515e-05	yes	Y40B10A.7
XLOC_005122	glu	noglu	OK	42.754	109.592	1.35802	-4.96598	6.83542e-07	8.53493e-05	yes	gst-13
XLOC_027065	glu	noglu	OK	102.223	32.3588	-1.65949	4.93864	7.86709e-07	9.73986e-05	yes	cnc-4
XLOC_013758	glu	noglu	OK	16.5517	5.42575	-1.60909	4.92782	8.31524e-07	0.000102082	yes	aagr-1
XLOC_013946	glu	noglu	OK	85.3071	215.794	1.33891	-4.91537	8.86162e-07	0.000107883	yes	spp-18
XLOC_028839	glu	noglu	OK	47.8382	20.3411	-1.23377	4.89919	9.62327e-07	0.000116123	yes	sodh-1
XLOC_003856	glu	noglu	OK	2.30552	0.272948	-3.07839	4.89768	9.69749e-07	0.000116123	yes	bath-47
XLOC_032874	glu	noglu	OK	27.3359	63.3873	1.2134	-4.89248	9.95714e-07	0.000116707	yes	F35E12.10
XLOC_038767	glu	noglu	OK	266.891	119.455	-1.15978	4.89221	9.97117e-07	0.000116707	yes	F08B12.4
XLOC_022012	glu	noglu	OK	10.7217	1.46474	-2.87181	4.89192	9.9859e-07	0.000116707	yes	lys-6
XLOC_008969	glu	noglu	OK	87.2056	41.8426	-1.05945	4.88942	1.01133e-06	0.000117258	yes	Y40D12A.2
XLOC_037949	glu	noglu	OK	97.7895	229.726	1.23216	-4.87471	1.08967e-06	0.000125346	yes	K10C2.3,fah-1
XLOC_021905	glu	noglu	OK	90.209	30.2503	-1.57632	4.86443	1.14789e-06	0.000131012	yes	hrg-4
XLOC_031020	glu	noglu	OK	3.09129	0.303309	-3.34935	4.86108	1.1675e-06	0.000132217	yes	ugt-32
XLOC_030693	glu	noglu	OK	12.2683	3.5496	-1.78921	4.85614	1.19697e-06	0.000134512	yes	alh-5
XLOC_005202	glu	noglu	OK	69.1767	144.352	1.06123	-4.84881	1.24206e-06	0.000138514	yes	pho-11
XLOC_006160	glu	noglu	OK	17.059	4.63465	-1.88001	4.84282	1.28007e-06	0.000141671	yes	C08F1.10
XLOC_038109	glu	noglu	OK	1302.96	2705.94	1.05434	-4.82658	1.38896e-06	0.000152567	yes	spp-5
XLOC_034512	glu	noglu	OK	18.1012	48.4629	1.42079	-4.75451	1.98933e-06	0.000215342	yes	clec-265
XLOC_002087	glu	noglu	OK	116.193	35.1726	-1.724	4.75444	1.98995e-06	0.000215342	yes	W01B11.6
XLOC_000951	glu	noglu	OK	132.925	55.8629	-1.25065	4.74062	2.13069e-06	0.000228876	yes	F36A2.3
XLOC_038756	glu	noglu	OK	4.35831	13.7266	1.65513	-4.68384	2.81555e-06	0.00029819	yes	asm-2
XLOC_004145	glu	noglu	OK	2.87368	0.0441531	-6.02424	4.68375	2.81677e-06	0.00029819	yes	F18A12.4
XLOC_027444	glu	noglu	OK	14.6758	2.79881	-2.39056	4.66769	3.04602e-06	0.000320139	yes	nlp-30
XLOC_007070	glu	noglu	OK	399.044	192.231	-1.0537	4.66141	3.14045e-06	0.000327706	yes	msra-1
XLOC_002797	glu	noglu	OK	148.538	69.1407	-1.10323	4.65238	3.28132e-06	0.000339977	yes	F55H12.4
XLOC_004990	glu	noglu	OK	43.7507	111.994	1.35604	-4.62189	3.80264e-06	0.000391217	yes	F49E12.9
XLOC_031158	glu	noglu	OK	59.8909	28.8081	-1.05586	4.61972	3.84267e-06	0.00039257	yes	ugt-12
XLOC_022011	glu	noglu	OK	8.44928	0.981711	-3.10546	4.61504	3.93013e-06	0.000398717	yes	lys-5
XLOC_009008	glu	noglu	OK	33.4777	7.65552	-2.12863	4.59183	4.39368e-06	0.000442671	yes	T07E3.4
XLOC_029226	glu	noglu	OK	50.885	18.2137	-1.48222	4.58565	4.52582e-06	0.000452861	yes	R10D12.9
XLOC_030440	glu	noglu	OK	109.04	52.5642	-1.0527	4.58344	4.5738e-06	0.000454549	yes	W01F3.2
XLOC_001828	glu	noglu	OK	239.701	2862.84	3.57814	-4.56979	4.88207e-06	0.000481907	yes	rrn-3.56
XLOC_032687	glu	noglu	OK	94.0717	32.422	-1.53679	4.55285	5.29249e-06	0.000518913	yes	dhs-21
XLOC_001830	glu	noglu	OK	3620.38	11097.6	1.61603	-4.52309	6.09435e-06	0.000593549	yes	rrn-2.1
XLOC_022332	glu	noglu	OK	30.8817	8.47551	-1.86538	4.47235	7.73663e-06	0.000748506	yes	C08F11.13
XLOC_008421	glu	noglu	OK	1.8586	0.0429204	-5.43641	4.4586	8.24951e-06	0.000792876	yes	cpt-3
XLOC_037438	glu	noglu	OK	56.5811	25.752	-1.13564	4.42101	9.82413e-06	0.000938044	yes	cht-1
XLOC_021389	glu	noglu	OK	6.98122	0.923852	-2.91775	4.40422	1.06164e-05	0.00100711	yes	F57H12.6
XLOC_033825	glu	noglu	OK	8.27491	1.98582	-2.05901	4.39341	1.11584e-05	0.0010517	yes	Y39B6A.24
XLOC_003470	glu	noglu	OK	19.0045	6.04539	-1.65243	4.36036	1.2985e-05	0.00121601	yes	W04A8.4
XLOC_028025	glu	noglu	OK	387.167	205.246	-0.915598	4.35206	1.34865e-05	0.00125493	yes	ZK105.1
XLOC_002025	glu	noglu	OK	246.224	467.605	0.925318	-4.34945	1.36477e-05	0.0012619	yes	cpz-1
XLOC_013720	glu	noglu	OK	58.5511	23.6831	-1.30584	4.32636	1.51591e-05	0.00139282	yes	faah-2
XLOC_005828	glu	noglu	OK	3.40425	0.900294	-1.91887	4.30747	1.65135e-05	0.00150779	yes	C09F9.2
XLOC_006010	glu	noglu	OK	38.4072	78.9648	1.03983	-4.2944	1.75165e-05	0.00158944	yes	acdh-9
XLOC_013770	glu	noglu	OK	39.786	81.4085	1.03292	-4.29292	1.76339e-05	0.00159021	yes	spp-8
XLOC_032812	glu	noglu	OK	47.0796	21.7676	-1.11292	4.28696	1.81136e-05	0.00162344	yes	F32H5.1
XLOC_037982	glu	noglu	OK	110.731	44.123	-1.32746	4.28024	1.86695e-05	0.00166306	yes	clec-266
XLOC_033980	glu	noglu	OK	119.531	57.628	-1.05254	4.25932	2.05049e-05	0.00181549	yes	F19B2.5
XLOC_007456	glu	noglu	OK	3.09184	0.357013	-3.11442	4.25772	2.0652e-05	0.0018175	yes	cutl-2
XLOC_036523	glu	noglu	OK	11.3661	3.01891	-1.91263	4.23173	2.31904e-05	0.00202178	yes	sym-1
XLOC_003226	glu	noglu	OK	0.376036	3.03441	3.01247	-4.23062	2.33047e-05	0.00202178	yes	Y47H9C.1
XLOC_009699	glu	noglu	OK	13.2049	4.51375	-1.54868	4.22981	2.33884e-05	0.00202178	yes	Y75B8A.28
XLOC_027279	glu	noglu	OK	17.7665	7.29246	-1.28468	4.22766	2.36131e-05	0.0020292	yes	ugt-53
XLOC_008652	glu	noglu	OK	8.32285	3.36956	-1.30452	4.22308	2.40982e-05	0.00205877	yes	mnp-1
XLOC_004810	glu	noglu	OK	25.9186	10.4946	-1.30434	4.20009	2.66804e-05	0.00225137	yes	C30G12.2
XLOC_001225	glu	noglu	OK	4.26354	1.96908	-1.11453	4.19932	2.67722e-05	0.00225137	yes	lam-3
XLOC_001817	glu	noglu	OK	7.19997	1.6526	-2.12325	4.19896	2.68149e-05	0.00225137	yes	ces-2
XLOC_030109	glu	noglu	OK	6.27692	1.17539	-2.41692	4.19134	2.77308e-05	0.00231497	yes	C08E8.4
XLOC_013687	glu	noglu	OK	8.49068	1.65348	-2.36038	4.15646	3.23212e-05	0.00268284	yes	ora-1
XLOC_028936	glu	noglu	OK	23.8614	10.1668	-1.23081	4.13756	3.51021e-05	0.00289721	yes	sqt-3
XLOC_011509	glu	noglu	OK	30.5351	11.1729	-1.45046	4.12119	3.76922e-05	0.00309351	yes	NA
XLOC_035571	glu	noglu	OK	14.9846	2.10131	-2.83413	4.11442	3.88151e-05	0.00316787	yes	F53A9.2
XLOC_031213	glu	noglu	OK	7.76949	2.43139	-1.67604	4.10811	3.98912e-05	0.00323761	yes	ugt-51
XLOC_031231	glu	noglu	OK	2.49395	12.1782	2.2878	-4.09539	4.21466e-05	0.00340177	yes	Y49G5A.1
XLOC_028271	glu	noglu	OK	113.504	44.1028	-1.36381	4.09055	4.30346e-05	0.00345435	yes	hsp-16.48
XLOC_031906	glu	noglu	OK	113.467	44.1028	-1.36333	4.08889	4.33445e-05	0.00346022	yes	hsp-16.49
XLOC_031051	glu	noglu	OK	18.6186	6.06389	-1.61843	4.06631	4.77644e-05	0.00379234	yes	C49G7.10
XLOC_027361	glu	noglu	OK	13.7098	2.97432	-2.20457	4.06179	4.86977e-05	0.00384554	yes	T20D4.7
XLOC_009644	glu	noglu	OK	11.3717	3.75084	-1.60016	4.04705	5.18673e-05	0.00407382	yes	Y41C4A.11
XLOC_027604	glu	noglu	OK	2.63619	10.9724	2.05735	-4.03707	5.41224e-05	0.0042282	yes	B0238.12
XLOC_027252	glu	noglu	OK	11.1904	31.6624	1.50051	-4.01957	5.83042e-05	0.00453067	yes	irg-3
XLOC_033937	glu	noglu	OK	200.481	362.178	0.853236	-4.01191	6.02295e-05	0.00465552	yes	clec-50
XLOC_000519	glu	noglu	OK	4.39924	1.61076	-1.44951	3.99781	6.39316e-05	0.00491567	yes	aman-3
XLOC_007724	glu	noglu	OK	180.457	82.9878	-1.12068	3.97694	6.98067e-05	0.0053393	yes	ttr-18
XLOC_031570	glu	noglu	OK	16.2827	7.20202	-1.17686	3.968	7.24776e-05	0.00551472	yes	ugt-41
XLOC_011129	glu	noglu	OK	5.02457	10.5781	1.07401	-3.95468	7.66366e-05	0.00580095	yes	T16G12.1,T16G12.7
XLOC_035944	glu	noglu	OK	4.5271	1.41956	-1.67314	3.95111	7.77882e-05	0.00585778	yes	lpr-3
XLOC_033814	glu	noglu	OK	1.45558	0.211591	-2.78224	3.93511	8.31597e-05	0.00623016	yes	ptr-22
XLOC_019131	glu	noglu	OK	13.7055	5.34963	-1.35724	3.90285	9.50673e-05	0.00708591	yes	21ur-13922,C52D10.1
XLOC_031263	glu	noglu	OK	86.6721	157.244	0.859368	-3.89555	9.79778e-05	0.00724183	yes	C24G6.6
XLOC_027749	glu	noglu	OK	7.3422	2.40654	-1.60925	3.89512	9.81507e-05	0.00724183	yes	W06H8.2
XLOC_003739	glu	noglu	OK	15.467	6.78539	-1.18869	3.89163	9.95738e-05	0.00730992	yes	fbxc-51
XLOC_027626	glu	noglu	OK	43.7152	85.4876	0.967581	-3.88478	0.00010242	0.00745732	yes	F08F3.4
XLOC_011719	glu	noglu	OK	7.55637	1.86842	-2.01588	3.8834	0.000103005	0.00745732	yes	dsl-3
XLOC_005778	glu	noglu	OK	49.8048	19.9991	-1.31635	3.88315	0.000103113	0.00745732	yes	Y54G11A.7
XLOC_021351	glu	noglu	OK	23.7576	10.8523	-1.13038	3.87154	0.000108151	0.00778315	yes	C46A5.4,C50F7.10
XLOC_028677	glu	noglu	OK	64.3768	28.3527	-1.18306	3.86973	0.000108957	0.00780269	yes	T19B10.2
XLOC_008033	glu	noglu	OK	7.96043	25.9172	1.70299	-3.84556	0.000120275	0.00857124	yes	F01D5.1
XLOC_039239	glu	noglu	OK	89.3661	36.3311	-1.29852	3.83609	0.000125008	0.00886523	yes	nspc-17
XLOC_004991	glu	noglu	OK	2.08103	7.83073	1.91185	-3.8202	0.000133343	0.00937703	yes	F49E12.10
XLOC_039654	glu	noglu	OK	12.9028	4.14044	-1.63983	3.8199	0.000133508	0.00937703	yes	F10D7.3
XLOC_005475	glu	noglu	OK	117.196	206.915	0.82011	-3.81675	0.000135219	0.00945174	yes	F13D12.6
XLOC_008158	glu	noglu	OK	4.77361	0.551408	-3.11389	3.81459	0.000136409	0.00948953	yes	gst-29
XLOC_005619	glu	noglu	OK	0.294491	1.84324	2.64595	-3.80893	0.000139572	0.00966354	yes	bcmo-1
XLOC_027629	glu	noglu	OK	76.2698	135.383	0.827865	-3.80293	0.000142997	0.009854	yes	rhr-1
XLOC_030671	glu	noglu	OK	22.6322	4.91595	-2.20284	3.79272	0.000149009	0.01022	yes	hsp-16.2
XLOC_010138	glu	noglu	OK	11.2659	4.48274	-1.32951	3.77829	0.000157906	0.0107797	yes	pho-9
XLOC_008958	glu	noglu	OK	14.7875	5.46105	-1.43713	3.76441	0.000166941	0.0113434	yes	F23F12.12
XLOC_002804	glu	noglu	OK	14.1159	2.52591	-2.48245	3.76274	0.000168062	0.0113667	yes	fip-6
XLOC_027497	glu	noglu	OK	0.568892	3.11646	2.45368	-3.75264	0.000174979	0.0117278	yes	D2063.1
XLOC_028272	glu	noglu	OK	104.732	44.322	-1.2406	3.75261	0.000175005	0.0117278	yes	hsp-16.11
XLOC_007998	glu	noglu	OK	4.12964	0.524131	-2.97802	3.74945	0.000177226	0.0118223	yes	F08G2.5
XLOC_008071	glu	noglu	OK	33.4047	65.5155	0.971784	-3.74526	0.000180205	0.0119665	yes	ctl-2
XLOC_013975	glu	noglu	OK	157.819	90.2577	-0.806151	3.74137	0.00018302	0.0120984	yes	cav-1
XLOC_030441	glu	noglu	OK	2.27252	0.547287	-2.05393	3.72728	0.000193556	0.0127372	yes	mlt-11
XLOC_011725	glu	noglu	OK	4.57446	0.568161	-3.00923	3.71093	0.000206497	0.0135279	yes	Y41D4B.26
XLOC_031046	glu	noglu	OK	54.7498	11.6026	-2.23841	3.7073	0.000209484	0.0136623	yes	nlp-34
XLOC_029507	glu	noglu	OK	40.4311	9.57265	-2.07847	3.70559	0.000210898	0.0136934	yes	T26H5.9
XLOC_006431	glu	noglu	OK	14.506	36.2576	1.32164	-3.69422	0.000220561	0.0142574	yes	Y46D2A.2,Y46D2A.5
